sample	station	sample	station	filtersize	Date	Ocean	code	Depth	Longitude	Latitude	Salinity	T pot	O2
144	10	144	10	0.8	26/12/10	North Atlantic	MP0144	-4002	-26	14.52	34.8948	2.0429	216.9
145	10	145	10	0.2	26/12/10	North Atlantic	MP0145	-4002	-26	14.52	34.8948	2.0429	216.9
261	17	261	17	0.8	02/01/11	South Atlantic	MP0261	-4002	-27.33	-3.03	34.8676	1.7369	236
262	17	262	17	0.2	02/01/11	South Atlantic	MP0262	-4002	-27.33	-3.03	34.8676	1.7369	236
326	20	326	20	0.8	05/01/11	South Atlantic	MP0326	-4001	-30.19	-9.12	34.8447	1.5802	227.6
327	20	327	20	0.2	05/01/11	South Atlantic	MP0327	-4001	-30.19	-9.12	34.8447	1.5802	227.6
371	23	371	23	0.8	08/01/11	South Atlantic	MP0371	-4003	-33.41	-15.83	34.8269	1.4542	223
372	23	372	23	0.2	08/01/11	South Atlantic	MP0372	-4003	-33.41	-15.83	34.8269	1.4542	223
440	26	440	26	0.8	11/01/11	South Atlantic	MP0440	-3907	-36.95	-22.97	34.7347	0.5836	208.9
441	26	441	26	0.2	11/01/11	South Atlantic	MP0441	-3907	-36.95	-22.97	34.7347	0.5836	208.9
555	32	555	32	0.8	24/01/11	South Atlantic	MP0555	-3199	-21.43	-26.91	34.9003	2.2513	230.8
556	32	556	32	0.2	24/01/11	South Atlantic	MP0556	-3199	-21.43	-26.91	34.9003	2.2513	230.8
626	35	626	35	0.8	27/01/11	South Atlantic	MP0626	-3662	-11.8	-28.62	34.8613	2.0761	220.7
627	35	627	35	0.2	27/01/11	South Atlantic	MP0627	-3662	-11.8	-28.62	34.8613	2.0761	220.7
739	41	739	41	0.8	02/02/11	South Atlantic	MP0739	-4001	6.84	-31.81	34.8047	1.4922	205.8
740	41	740	41	0.2	02/02/11	South Atlantic	MP0740	-4001	6.84	-31.81	34.8047	1.4922	205.8
758	43	758	43	0.8	04/02/11	South Atlantic	MP0758	-3902	12.7692	-32.8128	34.7503	0.9196	199.3
759	43	759	43	0.2	04/02/11	South Atlantic	MP0759	-3902	12.7692	-32.8128	34.7503	0.9196	199.3
900	50	900	50	0.8	18/02/11	Indian	MP0900	-4002	39.89	-33.55	34.7402	0.851	199.2
901	50	901	50	0.2	18/02/11	Indian	MP0901	-4002	39.89	-33.55	34.7402	0.851	199.2
959	53	959	53	0.8	25/02/11	Indian	MP0959	-3500	63.2478	-27.9783	34.7241	1.3208	164.9
960	53	960	53	0.2	25/02/11	Indian	MP0960	-3500	63.2478	-27.9783	34.7241	1.3208	164.9
1091	59	1091	59	0.8	03/03/11	Indian	MP1091	-4000	82.62	-29.81	34.7244	1.0745	176.1
1092	59	1092	59	0.2	03/03/11	Indian	MP1092	-4000	82.62	-29.81	34.7244	1.0745	176.1
1140	62	1140	62	0.8	06/03/11	Indian	MP1140	-2400	92.9852	-29.6525	34.7266	1.8199	158.9
1141	62	1141	62	0.2	06/03/11	Indian	MP1141	-2400	92.9852	-29.6525	34.7266	1.8199	158.9
1201	65	1201	65	0.8	09/03/11	Indian	MP1201	-4001	103.3075	-30.3327	34.7178	0.8069	186.1
