otu	MP0144	MP0145	MP0261	MP0262	MP0326	MP0327	MP0371	MP0372	MP0440	MP0441	MP0555	MP0556	MP0626	MP0627	MP0739	MP0740	MP0758	MP0759	MP0900	MP0901	MP0959	MP0960	MP1091	MP1092	MP1140	MP1141	MP1201	MP1202	MP1241	MP1242	MP1373	MP1374	MP1434	MP1435	MP1482	MP1483	MP1493	MP1494	MP1604	MP1605	MP1648	MP1649	MP1787	MP1788	MP1896	MP1897	MP2015	MP2016	MP2052	MP2053	MP2158	MP2159	MP2252	MP2253	MP2497	MP2498	MP2633	MP2634	MP2913	MP2914	chimera.uchime	chimera.slayer	RDP_Domain	RDP_Domain_conf	RDP_Phylum	RDP_Phylum_conf	RDP_Class	RDP_Class_conf	RDP_Order	RDP_Order_conf	RDP_Family	RDP_Family_conf	RDP_Genus	RDP_Genus_conf	SILVA_Taxonomy	evalue	match
0	2371	1803	1725	2476	1913	1565	2285	1168	1216	1260	708	456	810	297	1723	164	1406	309	2423	1732	2589	2581	2093	700	778	71	1189	385	1589	816	738	480	1790	324	699	95	377	208	911	1303	850	721	907	264	253	109	145	117	441	113	952	214	5161	339	360	282	1744	892	2040	1852	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Alteromonadales	100	Alteromonadaceae	100	Alteromonas	100	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;uncultured gamma proteobacterium	4e-140	96994
1	0	0	0	0	0	0	0	0	3	0	18	0	49	1	515	5	2158	7	1052	5	1152	19	651	24	198	23	478	244	190	103	664	54	452	192	1149	38	4073	47	1306	25	2992	38	2510	79	2180	13	2613	41	2196	34	2182	26	3624	144	2303	45	740	112	35	1	N	N	Bacteria	100	Actinobacteria	100	Actinobacteria	100	Actinomycetales	100	Nocardiaceae	100	Rhodococcus	100	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;uncultured;uncultured bacterium	4e-140	53089
2	966	166	2148	368	2402	443	2133	281	1106	434	704	98	654	161	1302	118	1211	96	653	101	775	126	725	61	539	31	1564	79	615	124	827	137	638	74	1607	137	889	149	1031	309	871	217	835	214	851	259	430	114	503	106	800	143	77	59	573	242	880	540	495	346	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Oceanospirillales	100	Halomonadaceae	100	Halomonas	100	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;uncultured bacterium	4e-140	9834
3	1	1	28	19	87	94	575	166	170	495	407	244	357	226	413	775	418	542	253	728	267	634	288	328	96	77	458	418	1345	1458	692	1188	667	141	264	162	517	345	625	623	246	549	489	535	310	555	316	182	165	112	123	52	13	28	140	96	411	150	1220	1872	N	N	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhodobacterales	100	Rhodobacteraceae	100	Sulfitobacter	55	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;Sulfitobacter sp. NAS-14.1	4e-140	89193
4	908	160	324	141	252	187	118	65	504	487	1670	687	1280	778	389	139	662	325	3871	2752	1618	983	143	34	18	3	474	111	206	105	38	20	170	40	41	7	13	18	72	46	25	38	63	56	41	250	27	20	186	93	30	11	15	42	26	79	79	222	2325	1381	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Alteromonadales	100	Pseudoalteromonadaceae	100	Pseudoalteromonas	100	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;uncultured Pseudoalteromonas sp.	4e-140	99475
5	186	1293	65	1159	143	1212	211	1758	52	815	92	1269	80	1243	201	1211	179	1067	10	53	79	542	233	1084	123	566	67	1354	89	979	79	489	172	678	160	1432	68	1907	48	630	68	938	73	708	54	825	168	1200	191	1176	171	1266	31	1765	44	1028	297	1043	738	171	N	N	Bacteria	99	Proteobacteria	86	Deltaproteobacteria	41	Desulfobacterales	26	Desulfobulbaceae	12	Desulfurivibrio	11	Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured organism	4e-140	97613
6	1	3	6	3	5	21	58	42	31	70	2079	1895	2268	1648	1320	1194	194	215	12	9	712	1147	821	958	214	106	406	362	294	428	2757	2107	591	195	433	148	380	269	923	987	686	888	1516	1272	1497	2044	849	623	118	108	60	40	16	26	38	107	62	105	232	354	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Oceanospirillales	100	Alcanivoracaceae	100	Alcanivorax	100	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;uncultured Alcanivorax sp.	4e-140	82791
7	4	5	48	89	240	375	567	346	151	667	250	450	589	543	392	679	323	792	143	540	121	272	132	373	77	156	172	652	110	421	231	847	175	91	317	616	368	450	780	1175	193	1131	246	1108	317	1015	714	625	477	723	533	953	143	324	577	1530	1126	886	76	654	N	N	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Sphingomonadales	100	Erythrobacteraceae	100	Erythrobacter	100	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;uncultured;uncultured organism	4e-140	9712
8	88	1746	19	1658	57	1496	78	1118	38	737	26	784	61	1213	125	1414	205	805	39	1158	42	244	140	1068	65	659	94	1065	47	1328	47	1119	177	99	203	1706	86	985	43	1138	51	1315	27	942	15	666	99	2124	148	2245	101	2413	11	1464	21	799	56	954	425	959	N	N	Archaea	73	Euryarchaeota	44	Archaeoglobi	7	Archaeoglobales	7	Archaeoglobaceae	7	Ferroglobus	7	Archaea;Thaumarchaeota;Marine Group I;uncultured marine group I crenarchaeote	3e-135	35496
9	0	1	19	15	33	70	88	118	12	61	35	111	15	40	26	27	52	32	2	12	103	13	605	723	213	46	174	81	1710	779	983	369	778	117	163	27	179	110	169	101	77	80	166	82	87	100	160	191	86	121	25	27	10	8	7	17	51	17	54	81	N	N	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Thiotrichales	100	Piscirickettsiaceae	100	Methylophaga	100	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga;Methylophaga alcalica	4e-140	92477
