OTU code	MP0144	MP0145	MP0261	MP0262	MP0326	MP0327	MP0371	MP0372	MP0440	MP0441	MP0555	MP0556	MP0626	MP0627	MP0739	MP0740	MP0758	MP0759	MP0900	MP0901	MP0959	MP0960	MP1091	MP1092	MP1140	MP1141	MP1201	MP1202	MP1241	MP1242	MP1373	MP1374	MP1434	MP1435	MP1482	MP1483	MP1493	MP1494	MP1604	MP1605	MP1648	MP1649	MP1787	MP1788	MP1896	MP1897	MP2015	MP2016	MP2052	MP2053	MP2158	MP2159	MP2252	MP2253	MP2497	MP2498	MP2633	MP2634	MP2913	MP2914	SILVA_Taxonomy
0	7112	2642	4733	9094	7671	5388	2777	6030	4390	2815	1534	1129	2528	1047	6974	628	3911	1304	8021	5390	7506	6549	5646	1011	778	108	4687	876	5080	4225	2294	1634	2642	505	2412	486	1805	898	1045	6077	970	1058	4243	1291	285	416	228	172	524	168	4436	306	6705	1600	577	446	2540	1524	6614	3992	"Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;uncultured gamma proteobacterium"
1	0	0	1	0	1	1	0	0	7	1	34	1	124	3	2000	21	6034	23	3549	36	3286	34	1830	41	198	37	1952	551	609	527	2133	191	673	302	3778	276	18683	179	1534	119	3445	59	11817	367	2504	74	3687	61	2752	50	10087	36	4736	772	3630	67	1078	188	148	2	"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;uncultured;uncultured bacterium"
2	2868	225	6023	1309	9607	1620	2591	1307	3832	960	1542	271	1999	544	5006	427	3311	416	2144	293	2276	307	1969	80	539	47	5949	186	2000	607	2727	443	920	119	5187	704	4260	565	1182	1282	1002	308	3715	951	986	963	596	202	628	149	3750	217	100	303	887	385	1256	889	1542	762	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;uncultured bacterium"
3	1	1	91	68	345	350	698	749	576	1194	897	659	1118	790	1657	2998	1131	2361	829	2266	716	1555	847	485	96	113	1923	905	4219	7661	2167	3974	962	221	1016	808	2432	1207	721	2834	285	804	2383	2458	365	2083	457	311	200	160	606	80	14	149	232	160	591	257	3860	4148	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;Sulfitobacter sp. NAS-14.1"
4	2725	231	876	586	1129	715	155	359	1768	1130	3947	1722	3827	2735	1603	585	1750	1437	12483	8454	4676	2439	421	59	18	5	1818	214	628	582	120	50	264	62	108	32	69	51	94	267	31	48	238	278	45	942	36	34	223	152	141	16	23	247	40	130	108	370	7496	3109	"Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;uncultured Pseudoalteromonas sp."
5	557	1840	183	4125	519	4402	254	8629	212	1873	197	3324	245	4019	881	4389	514	4542	54	176	216	1445	614	1648	123	838	264	2963	295	5203	247	1727	265	1046	553	6838	311	7664	57	2819	76	1323	337	3219	61	3135	227	1938	234	1729	801	1957	41	8545	74	1709	443	1723	2476	349	"Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured organism"
6	6	6	14	22	14	51	72	218	131	165	4709	4814	6779	5517	5237	4654	538	908	35	25	2039	2930	2170	1416	214	159	1803	810	928	2242	8832	7211	888	295	1484	737	1648	1077	1077	4371	786	1285	6646	5632	1725	7656	1206	995	143	163	210	53	18	103	54	184	81	188	752	828	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;uncultured Alcanivorax sp."
7	11	7	110	360	910	1374	681	1651	447	1560	584	1141	1737	1671	1554	2594	853	3312	488	1548	340	680	354	553	77	214	729	1410	393	2212	716	2808	259	143	1027	2840	1646	1903	924	5556	213	1631	1192	5255	367	3562	1011	1046	605	1105	2557	1507	191	1538	937	2623	1637	1479	296	1389	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;uncultured;uncultured organism"
8	233	2507	70	6066	225	5250	95	5638	118	1651	70	2110	198	3938	516	5179	566	3274	131	3661	125	617	392	1625	65	1017	396	2333	158	7026	154	3582	288	169	646	8316	417	3742	47	5476	57	1923	176	4445	21	2785	132	3514	186	3323	473	3726	16	7330	32	1269	79	1629	1400	2145	"Archaea;Thaumarchaeota;Marine Group I;uncultured marine group I crenarchaeote"
9	1	4	57	75	116	229	109	594	63	135	81	281	40	137	98	100	170	127	5	32	336	45	1708	1088	213	68	690	177	5369	4062	3174	1161	1168	190	518	137	770	443	204	522	95	117	741	357	97	469	221	295	109	183	110	43	15	31	9	22	74	38	164	193	"Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga;Methylophaga alcalica"
